place,state,auto_accss_idx,pct_no_vehicle,pct_one_or_more_vehicles,transit_accss_idx,walkability_idx
Asheville,NC,0.5806138419805195,0.05375644461038961,0.9462435553896104,0.14984994097402596,9.38203463227922
Austin,TX,0.7183233984068965,0.059187465927586204,0.9408125340724137,0.28695235622413795,11.516379310458621
Boston,MA,0.7590960823684211,0.30125151308978326,0.6987484869102167,0.40926220012383896,14.936790505668732
Cambridge,MA,0.5639846451818181,0.10276915870785525,0.8972308412921447,0.16095638504766108,12.4585172108376
Chicago,IL,0.6362557551131981,0.16902190407813675,0.8309780959218632,0.3108658503809166,13.635528842135988
Columbus,OH,0.7442676151815107,0.09102277150732807,0.9089772284926719,0.2151696491059752,11.556745584360767
Dallas,TX,0.7150589669784302,0.06888788602696225,0.9311121139730377,0.13428687175074894,11.899340922704015
Denver,CO,0.6954606224844075,0.08802678338045739,0.9119732166195426,0.3401694865925156,14.462231462307694
Fort Lauderdale,FL,0.6196187268787234,0.07237203291382978,0.9276279670861702,0.08275518342021278,12.445744680714894
Fort Worth,TX,0.5452433662285472,0.047143124351741714,0.9528568756482583,0.018406130586236195,9.585952987894649
Hawaii,HI,0.2876976381219512,0.04661623983739837,0.9533837601626016,0.0,4.9864498644715445
Jersey City,NJ,0.5077065482134832,0.30852565552808986,0.69147434447191,0.15165691349662921,14.382771535784268
Kauai,HI,0.44717069351785715,0.04669189769642857,0.9533081023035714,0.0,6.059523809517857
Las Vegas,NV,0.6342414648450542,0.0902786339690881,0.9097213660309119,0.22188655063369397,11.957624935561052
Los Angeles,CA,0.5719531062886848,0.08419046793042802,0.9158095320695719,0.1868486104107393,13.572347600551595
Maui,HI,0.4450560910291262,0.05675016170873786,0.9432498382912621,0.0,6.703883495281553
Nashville,TN,0.7425908732896407,0.06915597676744185,0.9308440232325581,0.11209120623467231,10.727272727350952
New Orleans,LA,0.7513574059637826,0.20270947242857143,0.7972905275714285,0.40786892746076464,13.797786720217303
New York City,NY,0.5746439529959033,0.486772157935315,0.5132278420646851,0.32357590153134147,13.491195646587093
Newark,NJ,0.4610708557362146,0.19824489805961254,0.8017551019403876,0.05129960630551416,13.334575260769002
Oahu,HI,0.47950547395566834,0.09405613787986464,0.9059438621201354,0.24283874538071068,11.998871968541454
Oakland,CA,0.6123987601862464,0.0937138096208214,0.9062861903791786,0.1952852815520535,14.138809296365807
Portland,OR,0.5652874669635922,0.09161689590898058,0.9083831040910194,0.3639532428131068,14.395631067875
Rhode Island,RI,0.5385565104051411,0.09647256381595092,0.903527436184049,0.20931673259374234,12.58793456026871
Salem,OR,0.615474552609375,0.06041548636458333,0.9395845136354167,0.26220905548958334,11.864583333067708
San Diego,CA,0.5155757334930362,0.054004407764345404,0.9459955922356545,0.17286980200891364,12.18662952649805
San Francisco,CA,0.5158437711531841,0.2578119693648881,0.7421880306351119,0.48365020630808947,15.957257601881238
San Mateo,CA,0.4532713805399568,0.04826312159611231,0.9517368784038877,0.044014944019438444,10.069474442174947
Santa Clara,CA,0.6321755537079069,0.04635110132465116,0.9536488986753489,0.2423907421209302,13.554883720920001
Santa Cruz,CA,0.5562696680714285,0.05069136732142857,0.9493086326785715,0.29579486614285716,11.977040816311225
Seattle,WA,0.5003725121047821,0.08095587880098454,0.9190441211990155,0.1599305225682138,12.875175808873417
Twin Cities,MN,0.6492934257549161,0.07715382844364509,0.922846171556355,0.16138651771462828,11.51926458834964
Washington DC,DC,0.8262120650333333,0.32311612601555556,0.6768838739844445,0.47451205976,14.471481481526666
